               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066034,            0.046731,            0.028233,             0.58943,             0.31967,             0.26874,             0.11638,            0.049366,            0.055147,             0.01851,            0.070064,           0.0033262,           0.0033262
                   1,            0.053235,            0.035891,            0.016652,             0.69651,              0.4761,             0.52591,             0.28122,            0.042046,            0.049613,            0.012646,            0.039932,           0.0065277,           0.0065277
                   2,            0.048431,            0.033811,            0.012204,             0.62093,             0.65325,             0.67777,             0.36563,            0.041026,            0.047846,            0.008785,           0.0096684,           0.0095972,           0.0095972
                   3,             0.04335,            0.032233,           0.0093011,              0.8351,             0.76162,             0.83546,             0.49511,            0.033548,            0.045187,            0.006664,            0.009406,            0.009406,            0.009406
                   4,            0.039883,            0.031475,            0.007385,             0.87572,             0.79828,              0.8764,             0.52894,            0.032172,            0.043011,            0.005215,            0.009406,            0.009406,            0.009406
                   5,            0.037608,             0.03045,           0.0064885,             0.86599,             0.80809,             0.88029,             0.54423,             0.03153,            0.042236,           0.0047013,            0.009208,            0.009208,            0.009208
                   6,            0.036115,            0.029438,           0.0059522,             0.89596,             0.83653,             0.90346,             0.57401,            0.029357,             0.04115,           0.0043947,             0.00901,             0.00901,             0.00901
                   7,            0.034788,            0.028685,           0.0053317,             0.90872,             0.85612,             0.92014,             0.61035,            0.028952,             0.04039,           0.0039626,            0.008812,            0.008812,            0.008812
                   8,            0.033694,            0.027898,           0.0048122,             0.92024,             0.85978,             0.92848,             0.62246,             0.02737,            0.038608,           0.0035521,            0.008614,            0.008614,            0.008614
                   9,            0.032716,             0.02767,           0.0045607,             0.90683,             0.85913,             0.92703,             0.62113,            0.027055,            0.037956,           0.0035178,            0.008416,            0.008416,            0.008416
                  10,            0.031892,            0.027051,           0.0044269,             0.92744,             0.88042,              0.9418,             0.66227,            0.025982,            0.036641,           0.0030774,            0.008218,            0.008218,            0.008218
                  11,            0.031047,            0.026575,             0.00414,             0.91897,             0.88759,             0.93974,             0.65567,            0.026276,            0.036545,            0.002965,             0.00802,             0.00802,             0.00802
                  12,            0.030728,            0.026219,           0.0038931,             0.93799,             0.89644,             0.94931,             0.67861,            0.025159,            0.035723,           0.0027255,            0.007822,            0.007822,            0.007822
                  13,            0.029767,            0.025941,           0.0037682,             0.93297,             0.90391,             0.95187,             0.68035,            0.025199,            0.035768,           0.0027246,            0.007624,            0.007624,            0.007624
                  14,            0.029286,            0.025295,           0.0036064,             0.92552,             0.89583,             0.94743,             0.68352,            0.024585,            0.034758,           0.0026378,            0.007426,            0.007426,            0.007426
                  15,            0.028851,            0.025075,           0.0035215,             0.94676,             0.90547,             0.95467,             0.70055,             0.02386,            0.033781,           0.0024488,            0.007228,            0.007228,            0.007228
                  16,             0.02825,            0.024431,           0.0033293,             0.94573,             0.90833,             0.95426,             0.70435,            0.023722,            0.033188,           0.0024124,             0.00703,             0.00703,             0.00703
                  17,            0.027658,            0.024219,           0.0032489,             0.94922,             0.91601,             0.96049,             0.70861,            0.023463,            0.032844,           0.0022862,            0.006832,            0.006832,            0.006832
                  18,             0.02743,            0.023798,           0.0031882,               0.955,             0.91994,             0.96317,             0.71553,            0.022961,            0.032177,           0.0022097,            0.006634,            0.006634,            0.006634
                  19,            0.026729,            0.023249,           0.0029233,             0.94939,             0.92393,             0.96411,              0.7059,            0.023205,            0.032871,           0.0021933,            0.006436,            0.006436,            0.006436
                  20,            0.026535,            0.022944,           0.0029496,             0.96021,             0.91679,             0.96621,             0.73102,             0.02234,            0.031389,           0.0021051,            0.006238,            0.006238,            0.006238
                  21,            0.026155,            0.022657,           0.0028396,             0.96123,             0.92619,             0.96314,             0.73821,            0.022256,             0.03114,           0.0020522,             0.00604,             0.00604,             0.00604
                  22,            0.025593,             0.02242,           0.0027874,             0.95269,             0.92247,             0.96277,             0.73661,            0.021942,            0.030793,           0.0019831,            0.005842,            0.005842,            0.005842
                  23,            0.025152,            0.022243,            0.002693,             0.96413,              0.9204,             0.96798,             0.74865,            0.021621,            0.030226,           0.0019075,            0.005644,            0.005644,            0.005644
                  24,            0.025083,            0.021653,           0.0026689,             0.96869,             0.92861,             0.96802,              0.7511,            0.021279,            0.029656,           0.0019095,            0.005446,            0.005446,            0.005446
                  25,            0.024499,            0.021452,           0.0025688,             0.96391,             0.93629,             0.97137,             0.75997,            0.021155,            0.029519,           0.0018048,            0.005248,            0.005248,            0.005248
                  26,            0.024443,            0.021474,           0.0024964,             0.96506,              0.9335,             0.97112,             0.75792,            0.021023,            0.029261,           0.0018264,             0.00505,             0.00505,             0.00505
                  27,            0.023991,            0.021188,           0.0024592,             0.97054,             0.93421,              0.9707,              0.7658,            0.020735,            0.028818,           0.0017608,            0.004852,            0.004852,            0.004852
                  28,            0.023559,            0.020784,           0.0023614,             0.97066,             0.93496,             0.97326,             0.77086,            0.020394,            0.028325,           0.0017474,            0.004654,            0.004654,            0.004654
                  29,            0.023528,            0.020917,           0.0023963,             0.97314,              0.9397,             0.97444,             0.77652,            0.020336,            0.028469,           0.0017245,            0.004456,            0.004456,            0.004456
                  30,            0.023013,             0.02011,           0.0022771,             0.97285,             0.94229,             0.97502,             0.77938,            0.020193,            0.027717,           0.0016879,            0.004258,            0.004258,            0.004258
                  31,            0.022903,            0.020172,           0.0022639,             0.97179,             0.94529,             0.97561,             0.78437,            0.019943,            0.027449,           0.0016405,             0.00406,             0.00406,             0.00406
                  32,            0.022378,            0.019595,           0.0022073,             0.97785,             0.93984,             0.97508,             0.78655,            0.019849,            0.027249,           0.0016037,            0.003862,            0.003862,            0.003862
                  33,            0.022196,            0.019405,           0.0021479,             0.97334,             0.94828,             0.97735,             0.79102,            0.019781,            0.027227,           0.0016097,            0.003664,            0.003664,            0.003664
                  34,            0.022051,            0.019258,            0.002119,             0.97343,             0.94889,             0.97626,             0.79407,             0.01946,            0.026896,           0.0015476,            0.003466,            0.003466,            0.003466
                  35,             0.02163,            0.018991,           0.0020937,             0.97158,             0.95289,             0.97891,             0.79655,            0.019431,            0.026724,           0.0015134,            0.003268,            0.003268,            0.003268
                  36,            0.021494,            0.018985,           0.0020186,             0.97816,             0.94908,              0.9774,             0.79982,            0.019189,            0.026192,           0.0014907,             0.00307,             0.00307,             0.00307
                  37,            0.021064,            0.018425,           0.0019712,             0.98004,             0.95082,             0.97838,             0.80631,            0.018908,            0.025693,           0.0014731,            0.002872,            0.002872,            0.002872
                  38,            0.020854,            0.018204,           0.0019422,              0.9812,             0.95487,             0.97911,             0.80471,            0.018779,            0.025465,           0.0014443,            0.002674,            0.002674,            0.002674
                  39,            0.020582,             0.01808,           0.0019026,             0.98309,             0.95207,             0.97949,              0.8133,            0.018658,            0.025379,           0.0014169,            0.002476,            0.002476,            0.002476
                  40,            0.020476,            0.018038,           0.0018801,             0.97888,              0.9518,             0.97785,             0.81276,            0.018617,             0.02511,           0.0013964,            0.002278,            0.002278,            0.002278
                  41,            0.020124,            0.017572,           0.0018136,             0.97722,             0.95586,             0.98004,             0.81757,            0.018467,             0.02497,           0.0013609,             0.00208,             0.00208,             0.00208
                  42,            0.019894,            0.017328,           0.0018057,             0.97994,             0.95796,             0.97912,             0.82061,            0.018306,            0.024758,           0.0013444,            0.001882,            0.001882,            0.001882
                  43,            0.019654,            0.017132,           0.0017631,             0.98519,             0.95567,             0.97969,             0.82185,            0.018227,             0.02463,           0.0013267,            0.001684,            0.001684,            0.001684
                  44,             0.01944,            0.017031,           0.0017611,              0.9843,             0.95486,             0.98038,             0.82425,            0.018141,            0.024447,           0.0013089,            0.001486,            0.001486,            0.001486
                  45,              0.0194,            0.016861,           0.0017247,             0.97967,             0.95737,             0.97984,             0.82633,            0.017966,             0.02409,           0.0012851,            0.001288,            0.001288,            0.001288
                  46,             0.01916,            0.016595,           0.0017591,             0.97973,             0.95951,             0.98222,             0.83259,            0.017789,            0.023862,            0.001269,             0.00109,             0.00109,             0.00109
                  47,            0.019038,            0.016642,           0.0016822,             0.98654,              0.9573,             0.98108,             0.83262,            0.017863,            0.023954,           0.0012561,            0.000892,            0.000892,            0.000892
                  48,            0.018872,            0.016435,           0.0016735,             0.98336,             0.95774,             0.98136,             0.83611,            0.017696,            0.023716,           0.0012518,            0.000694,            0.000694,            0.000694
                  49,            0.018818,            0.016301,           0.0016713,             0.98282,             0.96201,             0.98256,             0.83892,            0.017663,            0.023663,            0.001245,            0.000496,            0.000496,            0.000496
